Batch_Number,Avg_CE_Train,Avg_CE_Test,Avg_Accuracy,Num_Runs
0,,2.302978,9.02,100
1,2.302961,1.745609,50.1926,100
2,1.754449,1.7606819999999999,47.528999999999996,100
3,1.780464,1.9172909999999999,46.42100000000001,100
4,1.924171,1.85075,48.795100000000005,100
5,1.8501269999999999,1.6147960000000001,53.326499999999996,100
6,1.6277000000000001,1.396544,59.2458,100
7,1.408406,1.206497,63.977399999999996,100
8,1.225436,1.014709,68.8563,100
9,1.034568,0.898919,72.6374,100
10,0.92184,0.811399,75.2145,100
11,0.832094,0.747684,77.1506,100
12,0.769465,0.714979,77.61449999999999,100
13,0.733518,0.684034,78.4052,100
14,0.703682,0.6465049999999999,79.6343,100
15,0.667865,0.607182,80.6942,100
16,0.626324,0.600581,80.8606,100
17,0.6218090000000001,0.5794590000000001,81.7125,100
18,0.600574,0.548378,82.3884,100
19,0.572348,0.525982,83.20870000000001,100
20,0.542359,0.5066149999999999,83.9426,100
21,0.526605,0.49255499999999997,84.439,100
22,0.516244,0.48357999999999995,84.8166,100
23,0.502625,0.464926,85.4721,100
24,0.487234,0.460264,85.73370000000001,100
25,0.479364,0.44229799999999997,86.3087,100
26,0.46390099999999995,0.437792,86.5733,100
27,0.45792900000000003,0.424369,87.031,100
28,0.44412399999999996,0.41304900000000005,87.4857,100
29,0.436402,0.407136,87.57979999999999,100
30,0.429073,0.40334600000000004,87.70100000000001,100
31,0.42231900000000006,0.39671599999999996,87.96860000000001,100
32,0.41993,0.396815,87.9315,100
33,0.41951099999999997,0.399029,87.8681,100
34,0.419667,0.385953,88.2887,100
35,0.41208300000000003,0.382342,88.3838,100
36,0.40380299999999997,0.384361,88.3019,100
37,0.40590699999999996,0.373882,88.6084,100
38,0.39803400000000005,0.378972,88.4609,100
39,0.39771900000000004,0.36939900000000003,88.9241,100
40,0.392113,0.359537,89.2291,100
41,0.380668,0.350533,89.5722,100
42,0.374364,0.34689100000000006,89.67110000000001,100
43,0.363097,0.342083,89.8259,100
44,0.36166899999999996,0.33854999999999996,89.9339,100
45,0.355357,0.33437,90.0906,100
46,0.351624,0.331948,90.1699,100
47,0.353761,0.329644,90.2269,100
48,0.345457,0.32761,90.2992,100
49,0.340386,0.3223,90.5065,100
50,0.345372,0.320258,90.5095,100
51,0.340051,0.32096800000000003,90.48440000000001,100
52,0.34306800000000004,0.324564,90.2859,100
53,0.34493,0.323669,90.2976,100
54,0.345743,0.32108600000000004,90.37559999999999,100
55,0.336311,0.314669,90.64290000000001,100
56,0.33212,0.313581,90.6333,100
57,0.333767,0.313482,90.6319,100
58,0.32957299999999995,0.30860299999999996,90.83120000000001,100
59,0.324251,0.30912500000000004,90.80860000000001,100
60,0.31918,0.300587,91.0875,100
61,0.316299,0.298179,91.1759,100
62,0.30984300000000004,0.294014,91.306,100
63,0.306777,0.29086300000000004,91.4358,100
64,0.302712,0.286318,91.55930000000001,100
65,0.300844,0.283438,91.7033,100
66,0.295148,0.280469,91.7358,100
67,0.28893,0.277279,91.87469999999999,100
68,0.290965,0.279014,91.7696,100
69,0.29362,0.277067,91.8273,100
70,0.293099,0.277538,91.82629999999999,100
71,0.288325,0.272812,91.9825,100
72,0.28857,0.272378,91.98010000000001,100
73,0.287138,0.272465,91.965,100
74,0.283383,0.267304,92.13510000000001,100
75,0.280468,0.266236,92.1749,100
76,0.277239,0.260988,92.34129999999999,100
77,0.274858,0.261042,92.3123,100
78,0.275038,0.258491,92.435,100
79,0.26927599999999996,0.254294,92.557,100
80,0.266722,0.255218,92.5089,100
81,0.26944399999999996,0.255133,92.4728,100
82,0.268509,0.250921,92.6284,100
83,0.262178,0.250513,92.6127,100
84,0.265638,0.247096,92.75290000000001,100
85,0.263948,0.24526900000000001,92.82879999999999,100
86,0.262773,0.24597999999999998,92.7578,100
87,0.255787,0.246133,92.8099,100
88,0.25908200000000003,0.241542,92.8953,100
89,0.256924,0.24297899999999997,92.8646,100
90,0.25553899999999996,0.239256,93.0124,100
91,0.24790500000000001,0.23372,93.1584,100
92,0.24938,0.232195,93.2236,100
93,0.24895399999999998,0.228646,93.32959999999999,100
94,0.243798,0.228607,93.3348,100
95,0.24402200000000002,0.227185,93.37719999999999,100
96,0.243139,0.228098,93.3028,100
97,0.237691,0.22407900000000003,93.4506,100
98,0.237212,0.220997,93.55030000000001,100
99,0.235,0.22138100000000002,93.54879999999999,100
100,0.234382,0.220139,93.5429,100
