P%,IPA_Avg_64,STD_64,IPA_Avg_1024,STD_1024,IPA_Avg_60000,STD_60000
0.0,0.04513799694437598,,0.06550171397986568,,0.07231446794573076,
10.0,0.051580396567576785,,0.06804567991997947,,0.06489951620594203,
20.0,0.04038592730326896,,0.06576721714714481,,0.05706058849676813,
30.0,0.04126230437075368,,0.05594745201176384,,0.05090060795681829,
40.0,0.03565079810224649,,0.06346985965299555,,0.0437496542280097,
50.0,0.027210941949032615,,0.044963287254765186,,0.038363781217117345,
60.0,0.01603422308099585,,0.04812330964031253,,0.029704265192311667,
70.0,0.011881700631680717,,0.04323288202462339,,0.03649091862700417,
80.0,0.006903183414140666,,0.013203937811422406,,0.02922226569128251,
82.0,0.005970646243105647,,0.010768162355551076,,0.01666678406826625,
84.0,0.0049738060563096105,,0.009222230726846256,,0.010379438834397315,
86.0,0.003992718027002351,,0.007564085826118782,,0.00881755029465451,
88.0,0.0030679836518830725,,0.006028018040822495,,0.007027660868668861,
90.0,0.0021143330945687256,,0.004558119442760522,,0.0052708582208175255,
92.0,0.0017429237840163845,,0.003114849526651735,,0.003260071617418618,
94.0,0.0030197034249737835,,0.0016203095004290748,,0.0018270970110239697,
96.0,0.0034774388070335,,0.0014536123357454427,,0.0011623920004101564,
98.0,0.0012313281797786892,,0.002028988424003175,,0.0018715253231501472,
100.0,,,,,,
