Pruning_Percentage,Batch_Size,CE_Train_Asymptote,CE_Test_Asymptote
0,60000,0.6382,0.7105699234619131
10,60000,0.6199700260063303,0.6620885124845178
20,60000,0.5936535820574508,0.6382438428160949
30,60000,0.5828032861427835,0.6290367940397175
40,60000,0.557940213240791,0.5932838584543915
50,60000,0.5312009060949036,0.5730588500870667
60,60000,0.5183669534509132,0.5624679742571089
70,60000,0.4974859284745251,0.5402600764398366
80,60000,0.5001772263658569,0.5375578521151986
90,60000,0.47684236980907424,0.5485873760623654
100,60000,2.3,2.3
