Batch_Number,Avg_CE_Train,Avg_Accuracy,Avg_CE_Test,Num_Runs
126,0.400806,89.0711,0.373208,100
127,0.392847,89.105,0.372063,100
128,0.395382,89.1349,0.37100900000000003,100
129,0.39933,89.1523,0.370654,100
130,0.39600900000000006,89.12979999999999,0.371425,100
131,0.389634,89.0804,0.37305,100
132,0.41082799999999997,89.0538,0.37296399999999996,100
133,0.392972,89.1635,0.3696,100
134,0.416235,89.1027,0.371166,100
135,0.39313200000000004,89.09219999999999,0.36997399999999997,100
136,0.41050800000000004,89.2298,0.367307,100
137,0.38994500000000004,89.3198,0.36626,100
138,0.39350700000000005,89.376,0.364713,100
139,0.380901,89.21260000000001,0.36788400000000004,100
140,0.37023978494623655,89.31698924731182,0.36544623655913977,93
141,0.37489354838709676,89.31946236559139,0.36466021505376345,93
142,0.38886236559139786,89.23978494623655,0.3674903225806452,93
143,0.3951397849462365,89.27462365591397,0.3653118279569892,93
144,0.37731075268817205,89.35408602150538,0.3646569892473118,93
145,0.37141182795698924,89.36612903225806,0.36342258064516125,93
146,0.37911075268817207,89.45247311827957,0.363041935483871,93
147,0.3833924731182796,89.35021505376343,0.36436666666666667,93
148,0.4107763440860215,89.2963440860215,0.36526021505376344,93
149,0.37371720430107525,89.3458064516129,0.3645806451612903,93
150,0.3964440860215054,89.42408602150539,0.3629010752688172,93
151,0.3821440860215054,89.34161290322581,0.3637,93
152,0.37631827956989244,89.42064516129034,0.3622559139784946,93
153,0.39891720430107525,89.44537634408603,0.3609408602150538,93
154,0.3909516129032258,89.40666666666667,0.3619354838709677,93
155,0.3748806451612903,89.58634408602151,0.35842580645161287,93
156,0.3700806451612903,89.41881720430108,0.3614150537634409,93
157,0.39932150537634403,89.44419354838709,0.3603741935483871,93
158,0.38318709677419355,89.52634408602151,0.3582559139784946,93
159,0.3741021505376344,89.58505376344085,0.35683440860215054,93
160,0.3717168831168831,89.58636363636363,0.3571831168831169,77
161,0.3871051948051948,89.52272727272727,0.358861038961039,77
162,0.3865948051948052,89.46233766233766,0.3596272727272727,77
163,0.4000974025974026,89.54662337662337,0.3578012987012987,77
164,0.38220259740259743,89.56324675324676,0.3576415584415584,77
165,0.37597012987012984,89.5474025974026,0.3580935064935065,77
