Pruning_Percentage,A,B,n
0.0,0.3278666335887592,10.928553972727627,1.397879644297398
10.0,0.2983409401990249,7.889532172060953,1.1313382770042537
20.0,0.27898218483896253,6.5342074048479475,1.0111183820775755
30.0,0.2706580642804107,6.618331307255588,0.9752679892021594
40.0,0.2655139171032921,6.937738267845717,0.9510714531424208
50.0,0.2562979846586045,6.7775989400640775,0.8948934826765689
60.0,0.26290972084718356,7.905990676530084,0.8953860986662117
70.0,0.2893598486367466,10.614328662784612,0.9373876805661502
80.0,0.2948679871119657,8.950204305556431,0.782834544094152
82.0,0.3287417408666324,10.448083126169848,0.8209602703738783
84.0,0.33519886237057017,9.512985858979805,0.7616846216287955
86.0,0.3609643768085353,10.000063448488028,0.7606986631925459
88.0,0.3589352656481012,8.377507730895072,0.6737907221888126
90.0,0.40441375129704094,8.23503933300762,0.6473812226010597
92.0,0.42766939440495644,6.738845775344393,0.5504266365076732
94.0,0.8348575,1.030740403225816,0.5
96.0,1.02258,0.9712629838709574,0.5
98.0,1.4680890000000002,0.7018190645161071,0.5
100.0,2.3,0.0,0.5
