Pruning_Percentage,A_mean,A_std,B_mean,B_std,n_mean,n_std,n_runs
0.0,0.29384987227930226,0.006169603813200606,6.763186570838737,1.0219998656684444,1.0798523322770521,0.054385496136039976,100
10.0,0.2834890332536272,0.004164053270762744,6.3825301501793446,0.5748050869847098,1.0281783836783571,0.03355946526526933,100
20.0,0.2737641686645123,0.004615879277589177,6.165502349577631,0.4848323656977994,0.9824796007686181,0.027502534139054746,100
30.0,0.26656077472131434,0.0030868771761514016,6.257778933011752,0.29293756793919573,0.9516499843349865,0.018765875108538232,100
40.0,0.2609345623535934,0.004059191227465694,6.5549631247294915,0.31608315408650695,0.9274214297351502,0.019289987807492703,100
50.0,0.25651676141445423,0.010395346545054304,6.784970953074395,0.37266097482523386,0.9009311314756041,0.07714898668250218,100
60.0,0.2562912686347977,0.00836463585144535,7.315730526845589,0.9362927393396059,0.864046467117784,0.04320143016124554,100
70.0,0.275311835938259,0.03577208006172764,8.77354382992221,3.0660195340553256,0.9611646801313514,0.4273806254255695,100
80.0,0.3219648628071204,0.049303321969054244,11.944478943988678,5.6981615996671735,0.9940489656610474,0.4976228279630838,100
82.0,0.3210896537668361,0.04376540781255378,11.430201646888968,4.8770129746934865,0.8661337640894624,0.3010715186651546,63
84.0,0.3304917144585561,0.027057658534627372,10.000377182969375,2.989013151616471,0.763497929967515,0.0727677924392157,63
86.0,0.34312947195971066,0.02657545870355471,9.4808113731803,2.3040508230939882,0.7318355704958309,0.053399597033555235,63
88.0,0.3738826101482586,0.030619967468965253,9.277478500384877,2.1192892337307643,0.7028942386490442,0.05261415220932932,63
90.0,0.41678915176822007,0.03452398748970819,9.183235335446302,2.972931327655177,0.6728691523233793,0.07028270231143244,100
92.0,0.47694498723962003,0.04159424114716595,7.810026178046376,1.5673563273700104,0.6035126691648177,0.042662923954451065,62
94.0,0.5506020702010617,0.05013518788615635,6.610341598112605,0.4443725222597827,0.5369884720336544,0.021489954848517196,62
96.0,0.8328049858087595,0.17178915525021252,4.991250992047402,1.837685142225443,0.5009010339612265,0.006080277186789566,62
98.0,1.5082265669458723,0.16764070691745708,1.5543100913463028,1.708140199140827,0.5000069161374393,1.998615716982274e-05,62
100.0,2.3000000000000007,8.881784197001252e-16,0.0,0.0,0.5,0.0,100
