Pruning_Percentage,A,B,n
0.0,0.29933359800657244,5.806807093480915,0.9046425677474221
10.0,0.2927314824657088,5.778865133373056,0.8770822208779401
20.0,0.29864047084391143,7.225893346069379,0.929179367786747
30.0,0.2993366089006041,7.643609231891446,0.9203124945287235
40.0,0.2985994739706259,8.459087430233048,0.9153557835278283
50.0,0.28276451109425604,7.1199175345924015,0.8118922992809914
60.0,0.2847177808452912,7.545923356272521,0.7812273079644034
70.0,0.30182554474918316,8.64187227411467,0.7677634558121395
80.0,0.3153772428684487,8.247909389876185,0.6761342686540455
82.0,0.3652620863078374,10.17062842474875,0.7322344090579496
84.0,0.3550436880867519,9.016668898098601,0.67026027016446
86.0,0.5372707142857143,0.9990337301587493,0.5
88.0,0.4375546892402321,9.978013206546454,0.6711598248522004
90.0,0.4543365336064791,8.841291812858199,0.6095887387282303
92.0,0.45520934135300406,6.857050401862741,0.5074683730164282
94.0,0.5428358735896365,7.504591160794494,0.5000000000828336
96.0,0.7118629819214238,8.206407177314079,0.5000148522641691
98.0,1.5180075,0.6803163709677151,0.5
100.0,2.3,0.0,0.5
