Pruning_Percentage,A_mean,A_std,B_mean,B_std,n_mean,n_std,n_runs
0.0,0.264753991398225,0.016192135412869547,5.463974123029427,1.1119223919329269,0.9781845473373336,0.18898725363340482,100
10.0,0.261214695394662,0.015252167727705374,5.593142599641357,1.0013199316069346,1.000635503046357,0.278417956311008,100
20.0,0.2564938928606517,0.017748180336423235,5.529899253714137,0.7996651446890123,0.9844827610384496,0.3194134595884722,100
30.0,0.2511785192293719,0.020221371601726393,5.656687275951745,1.146821313902067,0.9446359314983467,0.3063992353934776,100
40.0,0.25744517084196716,0.024548303069490383,6.385992496611059,1.6760217593936773,1.018093754588121,0.4045422071173732,100
50.0,0.2542575624991876,0.021858696264072663,6.578131820765305,1.2824486340727528,0.9300431348411629,0.2888487173874703,100
60.0,0.27071201929196165,0.02971734678207903,8.161065313978275,2.557496310674938,1.0106570022079422,0.3995701104291956,100
70.0,0.2850505985116211,0.03898322545213717,9.618581119284245,3.6010107044510193,1.0312379645033056,0.5190500471738762,100
80.0,0.3073233792679938,0.024085139299609277,9.418804935255663,2.852636899176427,0.7836887920388886,0.13400030119431325,100
82.0,0.3164573696368475,0.025578241159054518,9.606996361321599,2.904329444234898,0.7586646910873682,0.0678411522151444,63
84.0,0.3351758712668447,0.021088324019007492,9.245926497363765,2.5557906196494247,0.7318967755839965,0.05553533917598082,63
86.0,0.3611363976235587,0.02288981628631983,9.254321813677997,2.34286148114568,0.7095951011688247,0.05397857938947875,63
88.0,0.3870149155771199,0.02550050716188534,8.859159496851909,2.0737320222893114,0.677480081732399,0.05022753900615701,63
90.0,0.4185623899863635,0.0369012033965028,8.256603692140223,0.5415963920158832,0.6384930289313423,0.024651886640130582,100
92.0,0.48212859186203205,0.044367400769751625,7.871056974759856,1.5259582404508094,0.6010541110018892,0.04747022919500899,63
94.0,0.5670535836455701,0.05470215841844318,6.538345962918724,0.4782146853724875,0.5280920569113455,0.024381517436381447,62
96.0,0.9442651214808047,0.22137974816922756,3.958767179809958,2.496910513480972,0.5006643067199241,0.005181354744220954,62
98.0,1.5157884707972593,0.17134827998451468,1.4708167867716158,1.7053275588859558,0.5000050865125947,1.7242056697318588e-05,62
100.0,2.3000000000000007,8.881784197001252e-16,0.0,0.0,0.5,0.0,100
