Pruning_Percentage,A,B,n
0.0,0.27382823472122897,6.053876525928259,1.0174532338292481
10.0,0.2738290855939287,7.738468247111663,1.0721529187411851
20.0,0.2629922979573225,6.488817570779348,0.9769139144742953
30.0,0.26499626452062963,7.457968510721447,0.9957734543172676
40.0,0.2577618623318303,6.888555776154714,0.9277836131914279
50.0,0.253971126066681,6.8181488822944285,0.878284981354302
60.0,0.2641937925512703,7.939871855160319,0.8799495658077914
70.0,0.27275290096881033,8.395001071352826,0.8282418769953156
80.0,0.30628323085228476,8.98454825845818,0.7700130910517493
82.0,0.3700389809891317,18.897866231447956,0.9662209144560117
84.0,0.32275084816129657,8.287739793726656,0.7020985954865083
86.0,0.47329,0.9669378571428577,0.5
88.0,0.396000716072604,8.87956095668624,0.6865685043455644
90.0,0.5764,1.039995299999985,0.5
92.0,0.4490160388617769,7.049384504656253,0.5637732653387353
94.0,0.836865,1.0307176612903146,0.5
96.0,1.0782883333333333,0.9381612634408731,0.5
98.0,1.4414966666666666,0.7283619623655868,0.5
100.0,2.3,0.0,0.5
