P%,A_mean,B_mean,n_mean,CE_o,CE_L,learn_BN,fitted_at_learn_BN,IPA
0.0,0.264753991398225,5.463974123029427,0.9781845473373336,2.302585092994046,0.46853710155780703,28.0,0.4675285712842279,0.06550171397986568
10.0,0.261214695394662,5.593142599641357,1.000635503046357,2.302585092994046,0.4653517351546004,27.0,0.46054722920625535,0.06804567991997947
20.0,0.2564938928606517,5.529899253714137,0.9844827610384496,2.302585092994046,0.46110301287399125,28.0,0.4574085407034961,0.06576721714714481
30.0,0.2511785192293719,5.656687275951745,0.9446359314983468,2.302585092994046,0.4563191766058392,33.0,0.4534208941450818,0.05594745201176384
40.0,0.2574451708419671,6.385992496611059,1.018093754588121,2.302585092994046,0.4619591630571749,29.0,0.4576066398594173,0.06346985965299555
50.0,0.2542575624991876,6.578131820765305,0.9300431348411629,2.302585092994046,0.4590903155486734,41.0,0.4576855550694908,0.044963287254765186
60.0,0.2707120192919616,8.161065313978275,1.0106570022079422,2.302585092994046,0.47389932666216983,38.0,0.47195756077647694,0.04812330964031253
70.0,0.2850505985116211,9.618581119284244,1.0312379645033056,2.302585092994046,0.48680404795986365,42.0,0.4839421459835022,0.04323288202462339
80.0,0.3073233792679938,9.418804935255665,0.7836887920388886,2.302585092994046,0.5068495506405988,136.0,0.5066071088937232,0.013203937811422406
82.0,0.3164573696368475,9.6069963613216,0.7586646910873682,2.302585092994046,0.5150701419725674,166.0,0.514286900569144,0.010768162355551076
84.0,0.3351758712668447,9.245926497363763,0.7318967755839965,2.302585092994046,0.5319167934395648,192.0,0.531583526846582,0.009222230726846256
86.0,0.3611363976235587,9.254321813677995,0.7095951011688247,2.302585092994046,0.5552812671606073,231.0,0.5551382656859388,0.007564085826118782
88.0,0.3870149155771199,8.859159496851909,0.677480081732399,2.302585092994046,0.5785719333188124,286.0,0.578540365984169,0.006028018040822495
90.0,0.4185623899863635,8.256603692140223,0.6384930289313423,2.302585092994046,0.6069646602871317,372.0,0.6068333243207535,0.004558119442760522
92.0,0.482128591862032,7.871056974759856,0.6010541110018892,2.302585092994046,0.6641742419752332,526.0,0.664131193649298,0.003114849526651735
94.0,0.5670535836455701,6.538345962918724,0.5280920569113455,2.302585092994046,0.7406067345804177,964.0,0.7405788536463748,0.0016203095004290748
96.0,0.9442651214808048,3.958767179809958,0.5006643067199241,2.302585092994046,1.0800971186321286,841.0,1.0800841472223037,0.0014536123357454427
98.0,1.515788470797259,1.4708167867716158,0.5000050865125947,2.302585092994046,1.594468133016938,349.0,1.594404592492605,0.002028988424003175
100.0,2.3000000000000007,0.0,0.5,2.302585092994046,2.3002585092994052,0.0,2.3000000000000007,
