P%,A,B,n,CE_o,CE_L,learn_BN,avg_CE_learn_at_BN,IPA
0.0,0.27382823472122897,6.053876525928259,1.0174532338292481,2.302585092994046,0.47670392054851063,29.0,0.4749369999999999,0.06296141973950121
10.0,0.2738290855939287,7.738468247111663,1.0721529187411851,2.302585092994046,0.47670468633394014,32.0,0.4718,0.057058762708128305
20.0,0.2629922979573225,6.488817570779348,0.9769139144742953,2.302585092994046,0.4669515774609947,36.0,0.466724,0.05098981987591809
30.0,0.26499626452062963,7.457968510721447,0.9957734543172676,2.302585092994046,0.46875514736797097,40.0,0.466799,0.04584574864065187
40.0,0.2577618623318303,6.888555776154714,0.9277836131914279,2.302585092994046,0.4622441853980519,47.0,0.461335,0.03915618952331902
50.0,0.253971126066681,6.8181488822944285,0.878284981354302,2.302585092994046,0.45883252275941744,57.0,0.456297,0.032346536319905764
60.0,0.2641937925512703,7.939871855160319,0.8799495658077914,2.302585092994046,0.46803292259554796,68.0,0.465951,0.026978708388213205
70.0,0.27275290096881033,8.395001071352826,0.8282418769953156,2.302585092994046,0.47573612017133393,91.0,0.475381,0.02007526343761222
80.0,0.30628323085228476,8.98454825845818,0.7700130910517493,2.302585092994046,0.5059134170664608,137.0,0.504969,0.013114391795091862
82.0,0.3700389809891317,18.897866231447956,0.9662209144560117,2.302585092994046,0.5632935921896232,120.0,0.5630650793650794,0.014494095840036856
84.0,0.32275084816129657,8.287739793726656,0.7020985954865083,2.302585092994046,0.5207342726445716,196.0,0.520547619047619,0.00909107561402793
86.0,0.47329,0.9669378571428577,0.5,2.302585092994046,0.6562195092994045,124.0,0.655963492063492,0.013277141803989043
88.0,0.396000716072604,8.87956095668624,0.6865685043455644,2.302585092994046,0.5866591537647481,266.0,0.5864174603174603,0.006450849395598864
90.0,0.5764,1.039995299999985,0.5,2.302585092994046,0.7490185092994046,150.0,0.7486029999999999,0.010357110557964275
92.0,0.4490160388617769,7.049384504656253,0.5637732653387353,2.302585092994046,0.6343729442750037,635.0,,0.0026271057460142398
94.0,0.836865,1.0307176612903146,0.5,2.302585092994046,0.9834370092994045,177.0,0.9831596774193548,0.007452814032173115
96.0,1.0782883333333333,0.9381612634408731,0.5,2.302585092994046,1.2007180092994045,215.0,1.2000370967741936,0.005124963179975076
98.0,1.4414966666666666,0.7283619623655868,0.5,2.302585092994046,1.5276055092994045,220.0,1.517674193548387,0.003522634471339279
100.0,2.3,0.0,0.5,2.302585092994046,2.3002585092994043,,,
