P%,A,B,n,CE_o,CE_L,learn_BN,avg_CE_learn_at_BN,IPA
0.0,0.3278666335887592,10.928553972727627,1.397879644297398,2.302585092994046,0.5253384795292879,24.0,0.520225,0.07405194222769824
10.0,0.2983409401990249,7.889532172060953,1.1313382770042537,2.302585092994046,0.49876535547852696,28.0,0.491952,0.06442213348269711
20.0,0.27898218483896253,6.5342074048479475,1.0111183820775755,2.302585092994046,0.48134247565447064,32.0,0.478288,0.05691383179186173
30.0,0.2706580642804107,6.618331307255588,0.9752679892021594,2.302585092994046,0.4738507671517742,37.0,0.468929,0.049425252049791125
40.0,0.2655139171032921,6.937738267845717,0.9510714531424208,2.302585092994046,0.46922103469236753,43.0,0.465066,0.04263637344887624
50.0,0.2562979846586045,6.7775989400640775,0.8948934826765689,2.302585092994046,0.4609266954921485,52.0,0.459248,0.03541650764426726
60.0,0.26290972084718356,7.905990676530084,0.8953860986662117,2.302585092994046,0.46687725806186964,63.0,0.465058,0.029138219602098035
70.0,0.2893598486367466,10.614328662784612,0.9373876805661502,2.302585092994046,0.49068237307247675,75.0,0.488468,0.024158702932287588
80.0,0.2948679871119657,8.950204305556431,0.782834544094152,2.302585092994046,0.4956396977001736,124.0,0.4948769999999999,0.014572140284628003
82.0,0.3287417408666324,10.448083126169848,0.8209602703738783,2.302585092994046,0.5261260760793738,124.0,0.5250666666666667,0.014326282394473162
84.0,0.33519886237057017,9.512985858979805,0.7616846216287955,2.302585092994046,0.5319374854329177,155.0,0.5309222222222222,0.011423532952007279
86.0,0.3609643768085353,10.000063448488028,0.7606986631925459,2.302585092994046,0.5551264484270864,168.0,0.5544888888888889,0.010401539550993807
88.0,0.3589352656481012,8.377507730895072,0.6737907221888126,2.302585092994046,0.5533002483826954,280.0,0.5520527272727273,0.006247445873611966
90.0,0.40441375129704094,8.23503933300762,0.6473812226010597,2.302585092994046,0.5942308854667413,338.0,,0.005054302389134038
92.0,0.42766939440495644,6.738845775344393,0.5504266365076732,2.302585092994046,0.6151609642638654,670.0,,0.0025185434757166872
94.0,0.8348575,1.030740403225816,0.5,2.302585092994046,0.9816302592994046,156.0,0.9802435483870968,0.008467659190350264
96.0,1.02258,0.9712629838709574,0.5,2.302585092994046,1.1505805092994046,234.0,1.15045,0.004923096511515561
98.0,1.4680890000000002,0.7018190645161071,0.5,2.302585092994046,1.5515386092994048,200.0,1.5505533333333337,0.0037552324184732056
100.0,2.3,0.0,0.5,2.302585092994046,2.3002585092994043,,,
