Batch_Number,Fit_CE,A,B,n
0.0,7.203252184949009,0.2655139171032921,6.937738267845717,0.9510714531424208
1.0,3.8540463546084585,0.2655139171032921,6.937738267845717,0.9510714531424208
2.0,2.7058042901554433,0.2655139171032921,6.937738267845717,0.9510714531424208
3.0,2.1216757609004744,0.2655139171032921,6.937738267845717,0.9510714531424208
4.0,1.766744813614746,0.2655139171032921,6.937738267845717,0.9510714531424208
5.0,1.5277496519414762,0.2655139171032921,6.937738267845717,0.9510714531424208
6.0,1.3556213244655304,0.2655139171032921,6.937738267845717,0.9510714531424208
7.0,1.2256102379167764,0.2655139171032921,6.937738267845717,0.9510714531424208
8.0,1.1238652810356389,0.2655139171032921,6.937738267845717,0.9510714531424208
9.0,1.042022854213878,0.2655139171032921,6.937738267845717,0.9510714531424208
10.0,0.974730786757721,0.2655139171032921,6.937738267845717,0.9510714531424208
11.0,0.9184030436992285,0.2655139171032921,6.937738267845717,0.9510714531424208
12.0,0.8705456996233021,0.2655139171032921,6.937738267845717,0.9510714531424208
13.0,0.8293699809468128,0.2655139171032921,6.937738267845717,0.9510714531424208
14.0,0.7935591046054303,0.2655139171032921,6.937738267845717,0.9510714531424208
15.0,0.7621219840776016,0.2655139171032921,6.937738267845717,0.9510714531424208
16.0,0.7342982275312375,0.2655139171032921,6.937738267845717,0.9510714531424208
17.0,0.7094945911111181,0.2655139171032921,6.937738267845717,0.9510714531424208
18.0,0.6872413635068444,0.2655139171032921,6.937738267845717,0.9510714531424208
19.0,0.6671617454378799,0.2655139171032921,6.937738267845717,0.9510714531424208
20.0,0.6489499172920019,0.2655139171032921,6.937738267845717,0.9510714531424208
21.0,0.6323550465498015,0.2655139171032921,6.937738267845717,0.9510714531424208
22.0,0.617169437827344,0.2655139171032921,6.937738267845717,0.9510714531424208
23.0,0.6032196244146533,0.2655139171032921,6.937738267845717,0.9510714531424208
24.0,0.5903595825971553,0.2655139171032921,6.937738267845717,0.9510714531424208
25.0,0.5784655006701385,0.2655139171032921,6.937738267845717,0.9510714531424208
26.0,0.5674317020114139,0.2655139171032921,6.937738267845717,0.9510714531424208
27.0,0.5571674354500952,0.2655139171032921,6.937738267845717,0.9510714531424208
28.0,0.5475943248627525,0.2655139171032921,6.937738267845717,0.9510714531424208
29.0,0.5386443251214547,0.2655139171032921,6.937738267845717,0.9510714531424208
30.0,0.5302580707613518,0.2655139171032921,6.937738267845717,0.9510714531424208
31.0,0.5223835319925574,0.2655139171032921,6.937738267845717,0.9510714531424208
32.0,0.5149749132675787,0.2655139171032921,6.937738267845717,0.9510714531424208
33.0,0.5079917447781808,0.2655139171032921,6.937738267845717,0.9510714531424208
34.0,0.5013981285375685,0.2655139171032921,6.937738267845717,0.9510714531424208
35.0,0.49516210917860626,0.2655139171032921,6.937738267845717,0.9510714531424208
36.0,0.4892551460219511,0.2655139171032921,6.937738267845717,0.9510714531424208
37.0,0.4836516678771188,0.2655139171032921,6.937738267845717,0.9510714531424208
38.0,0.4783286958211733,0.2655139171032921,6.937738267845717,0.9510714531424208
39.0,0.47326552213461465,0.2655139171032921,6.937738267845717,0.9510714531424208
40.0,0.4684434358677806,0.2655139171032921,6.937738267845717,0.9510714531424208
41.0,0.46384548731568137,0.2655139171032921,6.937738267845717,0.9510714531424208
42.0,0.45945628510790676,0.2655139171032921,6.937738267845717,0.9510714531424208
43.0,0.455261820758153,0.2655139171032921,6.937738267845717,0.9510714531424208
44.0,0.45124931642934835,0.2655139171032921,6.937738267845717,0.9510714531424208
45.0,0.4474070924043373,0.2655139171032921,6.937738267845717,0.9510714531424208
46.0,0.44372445134620364,0.2655139171032921,6.937738267845717,0.9510714531424208
47.0,0.44019157691558,0.2655139171032921,6.937738267845717,0.9510714531424208
48.0,0.43679944470723536,0.2655139171032921,6.937738267845717,0.9510714531424208
49.0,0.4335397437924353,0.2655139171032921,6.937738267845717,0.9510714531424208
50.0,0.43040480742084053,0.2655139171032921,6.937738267845717,0.9510714531424208
51.0,0.4273875516569575,0.2655139171032921,6.937738267845717,0.9510714531424208
52.0,0.42448142091001195,0.2655139171032921,6.937738267845717,0.9510714531424208
53.0,0.42168033946948635,0.2655139171032921,6.937738267845717,0.9510714531424208
54.0,0.4189786682869616,0.2655139171032921,6.937738267845717,0.9510714531424208
55.0,0.4163711663527655,0.2655139171032921,6.937738267845717,0.9510714531424208
56.0,0.4138529561068519,0.2655139171032921,6.937738267845717,0.9510714531424208
57.0,0.4114194924002152,0.2655139171032921,6.937738267845717,0.9510714531424208
58.0,0.4090665345883554,0.2655139171032921,6.937738267845717,0.9510714531424208
59.0,0.40679012139379306,0.2655139171032921,6.937738267845717,0.9510714531424208
60.0,0.40458654822196305,0.2655139171032921,6.937738267845717,0.9510714531424208
61.0,0.40245234665532015,0.2655139171032921,6.937738267845717,0.9510714531424208
62.0,0.40038426588522735,0.2655139171032921,6.937738267845717,0.9510714531424208
63.0,0.39837925587108314,0.2655139171032921,6.937738267845717,0.9510714531424208
64.0,0.39643445204190364,0.2655139171032921,6.937738267845717,0.9510714531424208
65.0,0.39454716137785145,0.2655139171032921,6.937738267845717,0.9510714531424208
66.0,0.3927148497284888,0.2655139171032921,6.937738267845717,0.9510714531424208
67.0,0.39093513024129056,0.2655139171032921,6.937738267845717,0.9510714531424208
68.0,0.3892057527885279,0.2655139171032921,6.937738267845717,0.9510714531424208
69.0,0.38752459429334896,0.2655139171032921,6.937738267845717,0.9510714531424208
70.0,0.38588964986699065,0.2655139171032921,6.937738267845717,0.9510714531424208
71.0,0.3842990246787871,0.2655139171032921,6.937738267845717,0.9510714531424208
72.0,0.3827509264891732,0.2655139171032921,6.937738267845717,0.9510714531424208
73.0,0.38124365878338456,0.2655139171032921,6.937738267845717,0.9510714531424208
74.0,0.3797756144501633,0.2655139171032921,6.937738267845717,0.9510714531424208
75.0,0.3783452699556051,0.2655139171032921,6.937738267845717,0.9510714531424208
76.0,0.37695117996743577,0.2655139171032921,6.937738267845717,0.9510714531424208
77.0,0.37559197238956343,0.2655139171032921,6.937738267845717,0.9510714531424208
78.0,0.37426634377079543,0.2655139171032921,6.937738267845717,0.9510714531424208
79.0,0.3729730550551999,0.2655139171032921,6.937738267845717,0.9510714531424208
80.0,0.3717109276447835,0.2655139171032921,6.937738267845717,0.9510714531424208
81.0,0.3704788397480036,0.2655139171032921,6.937738267845717,0.9510714531424208
82.0,0.369275722990169,0.2655139171032921,6.937738267845717,0.9510714531424208
83.0,0.36810055926405105,0.2655139171032921,6.937738267845717,0.9510714531424208
84.0,0.36695237780105716,0.2655139171032921,6.937738267845717,0.9510714531424208
85.0,0.3658302524451316,0.2655139171032921,6.937738267845717,0.9510714531424208
86.0,0.36473329911318497,0.2655139171032921,6.937738267845717,0.9510714531424208
87.0,0.36366067342731084,0.2655139171032921,6.937738267845717,0.9510714531424208
88.0,0.3626115685053722,0.2655139171032921,6.937738267845717,0.9510714531424208
89.0,0.36158521289772005,0.2655139171032921,6.937738267845717,0.9510714531424208
90.0,0.36058086865888067,0.2655139171032921,6.937738267845717,0.9510714531424208
91.0,0.35959782954401004,0.2655139171032921,6.937738267845717,0.9510714531424208
92.0,0.35863541932078824,0.2655139171032921,6.937738267845717,0.9510714531424208
93.0,0.35769299018821454,0.2655139171032921,6.937738267845717,0.9510714531424208
94.0,0.3567699212944796,0.2655139171032921,6.937738267845717,0.9510714531424208
95.0,0.3558656173467391,0.2655139171032921,6.937738267845717,0.9510714531424208
96.0,0.354979507306201,0.2655139171032921,6.937738267845717,0.9510714531424208
97.0,0.354111043162474,0.2655139171032921,6.937738267845717,0.9510714531424208
98.0,0.35325969878161095,0.2655139171032921,6.937738267845717,0.9510714531424208
99.0,0.3524249688227227,0.2655139171032921,6.937738267845717,0.9510714531424208
100.0,0.351606367718442,0.2655139171032921,6.937738267845717,0.9510714531424208
101.0,0.35080342871488635,0.2655139171032921,6.937738267845717,0.9510714531424208
102.0,0.3500157029671018,0.2655139171032921,6.937738267845717,0.9510714531424208
103.0,0.3492427586862798,0.2655139171032921,6.937738267845717,0.9510714531424208
104.0,0.34848418033531864,0.2655139171032921,6.937738267845717,0.9510714531424208
105.0,0.34773956786955795,0.2655139171032921,6.937738267845717,0.9510714531424208
106.0,0.34700853601975207,0.2655139171032921,6.937738267845717,0.9510714531424208
107.0,0.34629071361456154,0.2655139171032921,6.937738267845717,0.9510714531424208
