P%,A,B,n,CE_o,CE_L,learn_BN,fitted_at_learn_BN,IPA
0.0,0.2653894771645225,5.202537238083282,0.9563601223853415,2.302585092994046,0.4691090387474748,29.0,0.4665558259716557,0.06322331221539901
10.0,0.26149390375903725,5.30349094129784,0.9420084216438191,2.302585092994046,0.46560302268253806,31.0,0.4641211657143366,0.0592574861390809
20.0,0.25683399876984503,5.181180298315768,0.9110942232818857,2.302585092994046,0.4614091081922649,34.0,0.45990000611737203,0.05415223484711121
30.0,0.2519086045716972,5.223171705252327,0.8822275497820997,2.302585092994046,0.4569762534139321,39.0,0.4535375330793341,0.04732330357897728
40.0,0.2582642616963029,5.590097252078596,0.8905937947795736,2.302585092994046,0.46269634482607724,41.0,0.4586023928021721,0.04487533532116997
50.0,0.3058294534430117,1.7615340336177843,0.810614302302634,2.302585092994046,0.505505017398115,14.0,0.5019552149960418,0.12836286254256649
60.0,0.2719919638385919,7.031120449197736,0.8787958698931946,2.302585092994046,0.4750512767541373,56.0,0.473349999872857,0.03263453243285551
70.0,0.28749675140836894,7.58222049938817,0.8401306655848536,2.302585092994046,0.4890055855669364,75.0,0.48687016048689785,0.024181060099028127
80.0,0.3091148425685771,9.03726467183591,0.7755800497876533,2.302585092994046,0.5084618676111239,136.0,0.5081084649034175,0.013192082539580308
82.0,0.31857898407372126,9.3396284089311,0.7597744511632256,2.302585092994046,0.5169795949657536,159.0,0.5161374055402154,0.011230223258039573
84.0,0.33666693265581277,9.052914886103103,0.7322627590513062,2.302585092994046,0.5332587486896361,186.0,0.533094950544931,0.009512507227443064
86.0,0.36294343500746584,9.08210594963882,0.7106056219353185,2.302585092994046,0.5569076008061238,224.0,0.5564574585070929,0.007793203090124652
88.0,0.38876514771702886,8.712522052878313,0.6777228407451138,2.302585092994046,0.5801471422447306,279.0,0.5800360901026405,0.0061736127267000545
90.0,0.4192127532269222,8.231316744603035,0.6381103713008838,2.302585092994046,0.6075499872036345,372.0,0.6073328685481658,0.004556545983307557
92.0,0.48470279582584297,7.763187726193443,0.6012964620809332,2.302585092994046,0.6664910255426633,514.0,0.6664383901390951,0.0031830623880377096
94.0,0.5682198298604524,6.51917416836606,0.5279940548111491,2.302585092994046,0.7416563561738116,961.0,0.7416377133330025,0.0016242754805621585
96.0,0.9443357460970132,3.957820692959968,0.50121077772979,2.302585092994046,1.0801606807867163,835.0,1.0801091899290147,0.0014639813319848257
98.0,1.5157884713129297,1.4708167813611839,0.5000169821379383,2.302585092994046,1.5944681334810413,349.0,1.5943991146415946,0.0020289884226733657
100.0,2.3,0.0,0.5,2.302585092994046,2.3002585092994043,0.0,2.3,
