P%,IPA_Avg_64,STD_64,IPA_Avg_1024,STD_1024,IPA_Avg_60000,STD_60000
0.0,0.04397381330460307,,0.06521004187305483,,0.1045439184391034,
10.0,0.03932322281468485,,0.0629613933331071,,0.07215278950062076,
20.0,0.038373407658194074,,0.05398922104508974,,0.05874976184966372,
30.0,0.034671608378540344,,0.04956297150340743,,0.05224955216692205,
40.0,0.030569272154594544,,0.04182592971809077,,0.04583410145754196,
50.0,0.022722981546372638,,0.03414356611545608,,0.037584865255140765,
60.0,0.017631850300328926,,0.02866487766247653,,0.031113692117494512,
70.0,0.013437937264331169,,0.02052639295306418,,0.026645628234140722,
80.0,0.007240838320295698,,0.012833369113768466,,0.014227916498376948,
82.0,0.007818792403666312,,0.01525694298951248,,0.014211672135317377,
84.0,0.005746843489890376,,0.008734562844850365,,0.010929923503463754,
86.0,0.04964946690117183,,0.06097650309980153,,0.009872647709417851,
88.0,0.0044760729690091535,,0.006402708728467529,,0.006576258814328385,
90.0,0.0029234159990313008,,0.04315462732485115,,0.005054302389134038,
92.0,0.0013430033735678012,,0.0026271057460142398,,0.0025185434757166872,
94.0,0.000871162979903173,,0.026921389463155948,,0.026958261912135538,
96.0,0.0005382142481072782,,0.018997708339562783,,0.020210606731484934,
98.0,0.009414931115928553,,0.01091520540414988,,0.010729235481352016,
100.0,,,,,,
