Run,A,B,n,CE_o,CE_L,learn_BN,fitted_at_learn_BN,IPA
slp_0.1_64_run_0.txt,0.2934418186827519,5.432771988992668,0.8712569775924941,2.302585092994046,0.49435614611388123,44.0,0.4905245353807508,0.04109611242909465
slp_0.1_64_run_1.txt,0.2861192760959832,5.45415460052695,0.8585107053749601,2.302585092994046,0.4877658577857895,46.0,0.4862038158340687,0.039452592069744705
slp_0.1_64_run_10.txt,0.2878493696026126,5.699599554771839,0.8714393563654289,2.302585092994046,0.48932294194175574,46.0,0.4867849488340208,0.03941874241418022
slp_0.1_64_run_11.txt,0.2872773050231418,4.9438331529858,0.8305045276129532,2.302585092994046,0.4888080838202322,47.0,0.48578865641309776,0.038591000195187526
slp_0.1_64_run_12.txt,0.2926877697420407,5.860826782364825,0.8755472705832996,2.302585092994046,0.49367750206724126,47.0,0.4903632075576565,0.03848739555163414
slp_0.1_64_run_13.txt,0.3072052375178286,9.215861126184668,1.0255724670746895,2.302585092994046,0.5067432230654503,41.0,0.5066286494467569,0.04380102121777062
slp_0.1_64_run_14.txt,0.2773796607173264,4.776599421010886,0.790100197208924,2.302585092994046,0.47990020394499844,54.0,0.4787789425041393,0.03375342387127866
slp_0.1_64_run_15.txt,0.2991933617210891,5.906205575224699,0.9006033742513526,2.302585092994046,0.499532534848385,42.0,0.49881212305729017,0.04292982281299192
slp_0.1_64_run_16.txt,0.3122244176116314,8.959312024720667,1.0189388078070345,2.302585092994046,0.5112604851498728,41.0,0.51096335583256,0.04369084409376032
slp_0.1_64_run_17.txt,0.2950695683968077,5.604356934231558,0.8818892312159106,2.302585092994046,0.4958211208565315,43.0,0.4942206042842729,0.04201776679389568
slp_0.1_64_run_18.txt,0.2825078899981947,5.570482377520502,0.8561131839767668,2.302585092994046,0.4845156102977797,48.0,0.4815264854971295,0.03787644755617221
slp_0.1_64_run_19.txt,0.3056055052373966,6.121200479048461,0.9004527193974381,2.302585092994046,0.5053034640130616,44.0,0.5043050626689578,0.04084730974956782
slp_0.1_64_run_2.txt,0.2671716376374695,4.22428944911829,0.756100169774458,2.302585092994046,0.47071298317312693,55.0,0.468520140376272,0.03330676563310762
slp_0.1_64_run_20.txt,0.3687794373205703,7.66355039211164,1.7421333833594277,2.302585092994046,0.5621600028879179,8.0,0.535508875196304,0.217553136263266
slp_0.1_64_run_21.txt,0.3004653740891338,7.680680263260575,0.9628293606673204,2.302585092994046,0.500677345979625,44.0,0.4970901038251541,0.0409524487957823
slp_0.1_64_run_22.txt,0.2989691353867354,5.554776296559815,0.8752660062350475,2.302585092994046,0.4993307311474662,44.0,0.49742587821340745,0.040983053678331355
slp_0.1_64_run_23.txt,0.381379916585706,1.6303425351905654,2.725220398616558,2.302585092994046,0.57350043422654,2.0,0.4630415915206658,0.864542329383753
