P%,n_runs,n_valid,IPA_mean,IPA_std
0.0,100,100,0.049649164612316804,0.04011741233357213
10.0,100,100,0.07689063262308646,0.1932672509688931
20.0,100,100,0.04553269953001911,0.05382360262896967
30.0,100,100,0.06583483875937388,0.18236064325464707
40.0,100,100,0.04189110188269358,0.05514095326106333
50.0,100,100,0.032319321732771106,0.0524189192853983
60.0,100,100,0.016438448077437856,0.0022344574817288825
70.0,100,100,0.012730921918962775,0.007913570392237258
80.0,100,100,0.007068215275836767,0.0010840298573543887
82.0,63,63,0.006050156741130639,0.0008373712135218935
84.0,63,63,0.005088785442532652,0.0009582691395592718
86.0,63,63,0.004210496317506908,0.001008140460376043
88.0,63,63,0.0031675963951886543,0.0008037968491166137
90.0,100,100,0.0021709590656410803,0.0005822124155050324
92.0,63,63,0.006704665748609163,0.010475109279682548
94.0,62,62,0.014498278732696067,0.00988116385226626
96.0,62,62,0.012566505364504243,0.006044395360523662
98.0,62,62,0.0058245656839374,0.0034444663832947637
100.0,100,0,,
