file,CEasy,B,n,CE_l,BN_learn
slp_0.3_60000_run_0.txt,0.29528653615246003,26.914495991114727,1.385045656403987,0.4960163918366187,33.0
slp_0.3_60000_run_1.txt,0.2955704912921356,25.408433546535715,1.382178660645466,0.4962719514623266,32.0
slp_0.3_60000_run_10.txt,0.29066066048743777,24.234448550229992,1.3525890088933987,0.49185310373809865,33.0
slp_0.3_60000_run_11.txt,0.2935043379964457,26.830989369389325,1.3909297546443757,0.49441241349620557,33.0
slp_0.3_60000_run_12.txt,0.2929699564720667,28.17870163708203,1.407566107572693,0.4939314701242645,32.0
slp_0.3_60000_run_13.txt,0.2938725903519799,27.243460780629114,1.3713972088511133,0.4947438406161866,35.0
slp_0.3_60000_run_14.txt,0.29684852419880103,29.37459565218331,1.426231233072559,0.4974221810783255,32.0
slp_0.3_60000_run_15.txt,0.2925363223071046,28.121712651832496,1.3930396004279804,0.49354119937579877,33.0
slp_0.3_60000_run_16.txt,0.29305973791829376,29.134412311365377,1.40295542835312,0.4940122734258692,34.0
slp_0.3_60000_run_17.txt,0.2946722196891535,25.525988726127878,1.3737608731618867,0.4954635070196425,33.0
slp_0.3_60000_run_18.txt,0.29269435450730275,24.731453772075362,1.3570393209026606,0.493683428355977,33.0
slp_0.3_60000_run_19.txt,0.2932650954915673,28.404476021528012,1.4015896952413287,0.4941970952418153,33.0
slp_0.3_60000_run_2.txt,0.29387014979404497,23.055380158223336,1.319232332913201,0.49474164411404487,35.0
slp_0.3_60000_run_20.txt,0.2921223446327733,24.767202043972812,1.3470009140725283,0.49316861946890067,34.0
slp_0.3_60000_run_21.txt,0.2925716550437484,23.256719736493626,1.3478130416009053,0.49357299883877803,32.0
slp_0.3_60000_run_22.txt,0.29577463753768385,24.41481363710135,1.342654812818904,0.49645568308332,35.0
slp_0.3_60000_run_23.txt,0.2923317876533625,24.75573772244799,1.3543398993448303,0.4933571181874308,34.0
slp_0.3_60000_run_24.txt,0.2998951379459953,26.72006344961686,1.3847928523848245,0.5001641334508002,33.0
slp_0.3_60000_run_25.txt,0.29016315699932316,24.607988701324967,1.3449799270700078,0.4914053505987952,34.0
slp_0.3_60000_run_26.txt,0.2958281566686512,28.021575410487497,1.400544810607411,0.4965038503011905,33.0
slp_0.3_60000_run_27.txt,0.2928637605479856,24.002988740502772,1.326415663872789,0.4938358937925915,35.0
slp_0.3_60000_run_28.txt,0.29664295947297137,31.406913140636263,1.4401216576137088,0.49723717282507907,32.0
slp_0.3_60000_run_29.txt,0.296227766648713,29.25060792891443,1.4248697593338369,0.49686349928324614,32.0
slp_0.3_60000_run_3.txt,0.2906847660373334,26.296409164829004,1.3796078968931156,0.49187479873300455,33.0
slp_0.3_60000_run_30.txt,0.29455698045074197,28.199866208081737,1.4021773114424634,0.49535979170507227,33.0
slp_0.3_60000_run_31.txt,0.2961400889218988,22.195123385403136,1.3070150410688495,0.4967845893291132,35.0
slp_0.3_60000_run_32.txt,0.29382315091538025,28.724331075790644,1.3974128141610735,0.49469934512324687,34.0
slp_0.3_60000_run_33.txt,0.295031756100154,21.57551701947369,1.3204345828918629,0.4957870897895431,33.0
slp_0.3_60000_run_34.txt,0.29226493680007193,26.2234922677283,1.365410027349601,0.49329695241946947,34.0
slp_0.3_60000_run_35.txt,0.29259549460681866,25.010905589779753,1.3537558469627715,0.4935944544455413,34.0
slp_0.3_60000_run_36.txt,0.2927213523741744,25.797924271909302,1.387299121636855,0.49370772643616156,32.0
slp_0.3_60000_run_37.txt,0.29086225090629825,22.790724987335643,1.335994250655577,0.4920345351150728,33.0
slp_0.3_60000_run_38.txt,0.29434557178194576,28.204748392262836,1.393022768903278,0.4951695239031557,34.0
slp_0.3_60000_run_39.txt,0.29133902960494906,24.945800242447024,1.348068884754537,0.49246363594385856,34.0
slp_0.3_60000_run_4.txt,0.29436332405849336,26.980233904305262,1.3863985817189364,0.4951855009520487,33.0
slp_0.3_60000_run_40.txt,0.293477853785911,26.334367079932917,1.3793705245547714,0.4943885777067245,33.0
slp_0.3_60000_run_41.txt,0.29575526688349785,29.29581558915978,1.3973852096398724,0.4964382494945525,35.0
