Batch_Number,Mean_Fit_CE,Std_Fit_CE
0,6.643437667453022,1.685232232284114
1,3.430511558482948,0.7177586052930669
2,2.4155927002457087,0.5615236645369613
3,1.9095453809891032,0.4623624111033264
4,1.6037033785324726,0.3917771089960464
5,1.397794971586604,0.3392725841948486
6,1.2491961054314629,0.2988236871987041
7,1.1366201427065654,0.2667490718278593
8,1.0482169622894724,0.24070281850712313
9,0.9768503905345527,0.21913095391808898
10,0.9179587808303025,0.20096773478453628
11,0.8684860931124885,0.1854596550185231
12,0.8263058368971227,0.1720596486526896
13,0.7898912937295544,0.16036124404104313
14,0.7581171641860484,0.1500562631041242
15,0.7301352424964535,0.14090686008494385
16,0.7052937199650721,0.13272656063673913
17,0.6830832111413714,0.12536710669587747
18,0.6630997001715002,0.11870914020745679
19,0.6450185149146515,0.11265548250632934
20,0.6285756735294693,0.10712620462677168
21,0.6135542721890462,0.10205495619852312
22,0.5997743898757141,0.09738619372796661
23,0.5870854917288688,0.09307306146234173
24,0.575360636610444,0.08907575242568061
25,0.5644920069732129,0.08536022733311595
26,0.5543874210397814,0.08189720341272946
27,0.5449675838191478,0.07866134902756665
28,0.5361639002024513,0.07563063681596821
29,0.527916720185826,0.07278582008677141
30,0.5201739195611581,0.07011000589501108
31,0.5128897433992594,0.06758830457695486
32,0.5060238571321289,0.06520754021773678
33,0.49954056292452925,0.06295601002793935
34,0.49340814861714927,0.06082328324381861
35,0.48759834373362443,0.05880003217025909
36,0.4820858625119189,0.05687788952080838
37,0.47684801810276445,0.05504932739417158
38,0.4718643953018663,0.053307554147920676
39,0.4671165716865002,0.05164642615150173
40,0.4625878789855232,0.05006037196903065
41,0.4582631980537548,0.048544326973053956
42,0.45412878204337714,0.047093676749899824
43,0.4501721033387978,0.04570420794553347
44,0.44638172060198333,0.044372065433279775
45,0.4427471629043784,0.04309371487315231
46,0.4392588284311359,0.041865909885930336
47,0.43590789565826554,0.040685663190623333
48,0.4326862452425778,0.03955022115708859
49,0.42958639114309854,0.038457041310667114
50,0.4266014197225669,0.03740377239621479
51,0.4237249357681857,0.036388236667554974
52,0.4209510145292338,0.03540841411734557
53,0.4182741590014352,0.034462428403382143
54,0.4156892617988061,0.03354853426185487
55,0.4131915710468816,0.032665106227176624
56,0.4107766598098192,0.03181062850262625
57,0.4084403986303931,0.030983685846955048
58,0.4061789308183536,0.03018295535990278
59,0.4039886501706969,0.029407199064765552
60,0.4018661808484402,0.02865525719916946
61,0.39980835916963103,0.0279260421363724
62,0.3978122171085002,0.02721853286903162
63,0.39587496731663097,0.026531769995668204
64,0.3939939895044208,0.025864851157235774
65,0.39216681804050074,0.025216926877420037
66,0.39039113064357467,0.024587196765701664
67,0.3886647380557421,0.02397490604692167
68,0.38698557459908595,0.02337934238519701
69,0.3853516895283979,0.02279983297362686
70,0.38376123910262355,0.022235741864378565
71,0.3822124793061076,0.021686467516507685
72,0.3807037591581832,0.021151440541298444
73,0.37923351455622567,0.02063012162705609
74,0.3778002626030588,0.020121999627176118
75,0.37640259637473067,0.019626589796991004
76,0.37503918008917403,0.019143432166381247
77,0.37370874464028153,0.018672090036455896
78,0.3724100834654677,0.018212148589782307
79,0.3711420487179452,0.017763213604690523
80,0.3699035477177548,0.01732491026511253
81,0.3686935396580864,0.0168968820582522
82,0.3675110325456643,0.016478789753131502
83,0.3663550803559684,0.016070310453731626
84,0.36522478038584977,0.015671136721053996
85,0.3641192707877011,0.015280975758972762
86,0.3630377282707821,0.014899548659245242
87,0.3619793659565956,0.014526589701495009
88,0.3609434313763662,0.014161845704390393
89,0.35992920459973704,0.013805075424612928
90,0.358935996484721,0.013456049000550611
91,0.35796314703982973,0.013114547437963343
92,0.35701002389004527,0.012780362135156076
93,0.35607602083902296,0.012453294445461468
94,0.35516055652052886,0.012133155275082245
95,0.3542630731327056,0.011819764714574441
96,0.35338303524927517,0.011512951702470534
97,0.35251992870225807,0.011212553719746159
98,0.3516732595312331,0.010918416514028514
99,0.3508425529945424,0.010630393852629687
100,0.3500273526382132,0.010348347303664676
101,0.3492272194186939,0.01007214604468375
102,0.348441730875799,0.009801666698411163
103,0.3476704803525347,0.009536793195338388
104,0.34691307625872525,0.009277416663069065
105,0.34616914137558896,0.009023435342454022
106,0.3454383121986266,0.008774754530686484
107,0.3447202383163729,0.00853128655164752
108,0.344014581822745,0.008292950753896178
109,0.3433210167608791,0.008059673536783272
110,0.3426392285964996,0.007831388405224774
111,0.3419689137190038,0.007608036053692914
112,0.3413097789685682,0.007389564479957541
113,0.34066154118770453,0.007175929129023767
114,0.3400239267957983,0.006967093067544682
115,0.339396671385264,0.006763027188717533
116,0.33877951933804273,0.006563710447268747
117,0.3381722234612537,0.006369130123561869
118,0.33757454464089015,0.006179282115080281
119,0.33698625151252104,0.005994171252491672
120,0.3364071201480335,0.005813811636133998
121,0.33583693375750384,0.0056382269870051
122,0.33527548240535304,0.005467451004115133
123,0.3347225627399934,0.005301527717294151
124,0.33417797773621666,0.00514051182116064
125,0.33364153644963324,0.004984468971885818
126,0.33311305378250244,0.004833476023596017
