Run,Batch_Number,Fitted_CE,A,B,n
slp_1.0_1024_run_0.txt,0,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,1,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,2,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,3,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,4,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,5,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,6,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,7,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,8,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,9,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,10,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,11,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,12,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,13,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,14,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,15,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,16,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,17,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,18,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,19,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,20,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,21,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,22,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,23,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,24,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,25,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,26,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,27,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,28,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,29,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,30,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,31,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,32,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,33,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,34,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,35,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,36,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,37,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,38,2.3,2.3,0.0,0.5
slp_1.0_1024_run_0.txt,39,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,0,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,1,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,2,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,3,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,4,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,5,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,6,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,7,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,8,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,9,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,10,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,11,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,12,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,13,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,14,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,15,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,16,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,17,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,18,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,19,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,20,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,21,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,22,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,23,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,24,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,25,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,26,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,27,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,28,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,29,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,30,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,31,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,32,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,33,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,34,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,35,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,36,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,37,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,38,2.3,2.3,0.0,0.5
slp_1.0_1024_run_1.txt,39,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,0,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,1,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,2,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,3,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,4,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,5,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,6,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,7,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,8,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,9,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,10,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,11,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,12,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,13,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,14,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,15,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,16,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,17,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,18,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,19,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,20,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,21,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,22,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,23,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,24,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,25,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,26,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,27,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,28,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,29,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,30,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,31,2.3,2.3,0.0,0.5
slp_1.0_1024_run_10.txt,32,2.3,2.3,0.0,0.5
