P%,A_mean,B_mean,n_mean,CE_o,CE_L,learn_BN,fitted_at_learn_BN,IPA
0.0,0.2964518954662244,5.573849272108856,0.8965002419997572,2.302585092994046,0.4970652152190067,40.0,0.4961132911026015,0.04513799694437598
10.0,0.2966807820327264,5.824903696431164,0.9452629737556782,2.302585092994046,0.49727121312885836,35.0,0.49354809768701924,0.051580396567576785
20.0,0.2832887278305978,5.804162299930666,0.8786153416406354,2.302585092994046,0.48521836434694254,45.0,0.48411244786027385,0.04038592730326896
30.0,0.2853168793127551,6.209328643968377,0.9054621414341664,2.302585092994046,0.4870437006808841,44.0,0.48306998082222163,0.04126230437075368
40.0,0.2823732005334115,6.577440854295443,0.8843574324938425,2.302585092994046,0.4843943897794749,51.0,0.4821277321093539,0.03565079810224649
50.0,0.2768816367882848,7.144638622610122,0.8457057861569831,2.302585092994046,0.4794519824088608,67.0,0.4783546474765896,0.027210941949032615
60.0,0.2715835027345717,7.076720934938465,0.7487801319012614,2.302585092994046,0.47468366176051924,114.0,0.4742689040409235,0.01603422308099585
70.0,0.2826959856083242,8.144691804305154,0.7348803619214505,2.302585092994046,0.4846848963468964,153.0,0.48374809602063806,0.011881700631680717
80.0,0.3083321066867427,8.324187258351621,0.6708050070641675,2.302585092994046,0.5077574053174729,260.0,0.5075128225035288,0.006903183414140666
82.0,0.3190037300067252,8.119659475245642,0.6509932602896892,2.302585092994046,0.5173618663054573,299.0,0.517132970311281,0.005970646243105647
84.0,0.3296420239912337,8.364390994186639,0.6374895023353762,2.302585092994046,0.5269363308915149,357.0,0.5265941649171362,0.0049738060563096105
86.0,0.355025966489566,8.658757255114901,0.6235587651449106,2.302585092994046,0.549781879140014,439.0,0.5496101237852012,0.003992718027002351
88.0,0.3697553923077102,7.991809023419776,0.5869034953707429,2.302585092994046,0.5630383623763437,567.0,0.5630004660209683,0.0030679836518830725
90.0,0.3949867898942625,7.49977784456062,0.5479792603134253,2.302585092994046,0.5857466202042407,812.0,0.5856992790144888,0.0021143330945687256
92.0,0.5306125792440551,5.747490186172784,0.5102163528909676,2.302585092994046,0.7078098306190541,915.0,0.707733855210478,0.0017429237840163845
94.0,0.8397065448956353,3.058272772271057,0.5001844334845463,2.302585092994046,0.9859943997054763,436.0,0.9858396143559418,0.0030197034249737835
96.0,1.1473026448795831,1.9998100077196368,0.5000053433915755,2.302585092994046,1.2628308896910294,299.0,1.2627582106524682,0.0034774388070335
98.0,1.5856784638784536,1.6414245433094925,0.5000322342349294,2.302585092994046,1.6573691267900128,524.0,1.6573016421605862,0.0012313281797786892
100.0,2.3000000000000007,0.0,0.5,2.302585092994046,2.3002585092994052,0.0,2.3000000000000007,
