P%,A_mean,B_mean,n_mean,CE_o,CE_L,learn_BN,fitted_at_learn_BN,IPA
0.0,0.2938498722793022,6.763186570838737,1.079852332277052,2.302585092994046,0.4947233943507767,25.0,0.4943843716881556,0.07231446794573076
10.0,0.2834890332536272,6.3825301501793446,1.0281783836783571,2.302585092994046,0.485398639227669,28.0,0.48365344531422216,0.06489951620594203
20.0,0.2737641686645123,6.165502349577631,0.982479600768618,2.302585092994046,0.4766462610974658,32.0,0.47240087168923806,0.05706058849676813
30.0,0.2665607747213143,6.257778933011752,0.9516499843349864,2.302585092994046,0.47016320654858745,36.0,0.46795224416514924,0.05090060795681829
40.0,0.2609345623535934,6.554963124729492,0.9274214297351502,2.302585092994046,0.46509961541763856,42.0,0.4612233336852264,0.0437496542280097
50.0,0.2565167614144542,6.784970953074395,0.900931131475604,2.302585092994046,0.46112359457241325,48.0,0.46012611539134807,0.038363781217117345
60.0,0.2562912686347977,7.315730526845589,0.864046467117784,2.302585092994046,0.46092065107072244,62.0,0.4602507293884859,0.029704265192311667
70.0,0.275311835938259,8.77354382992221,0.9611646801313514,2.302585092994046,0.47803916164383753,50.0,0.4757216143812282,0.03649091862700417
80.0,0.3219648628071204,11.944478943988678,0.9940489656610474,2.302585092994046,0.5200268858258128,61.0,0.5194080278407365,0.02922226569128251
82.0,0.3210896537668361,11.430201646888968,0.8661337640894624,2.302585092994046,0.5192391976895572,107.0,0.5191679632255554,0.01666678406826625
84.0,0.3304917144585561,10.000377182969377,0.763497929967515,2.302585092994046,0.5277010523121051,171.0,0.52691593522909,0.010379438834397315
86.0,0.3431294719597106,9.4808113731803,0.7318355704958309,2.302585092994046,0.539075034063144,200.0,0.5386915779296346,0.00881755029465451
88.0,0.3738826101482586,9.277478500384875,0.7028942386490442,2.302585092994046,0.5667528584328374,247.0,0.5663617483077339,0.007027660868668861
90.0,0.41678915176822,9.183235335446302,0.6728691523233793,2.302585092994046,0.6053687458908026,322.0,0.6049939709322747,0.0052708582208175255
92.0,0.47694498723962,7.810026178046376,0.6035126691648177,2.302585092994046,0.6595089978150623,504.0,0.6594109632216003,0.003260071617418618
94.0,0.5506020702010617,6.610341598112605,0.5369884720336544,2.302585092994046,0.7258003724803601,863.0,0.7257277665304578,0.0018270970110239697
96.0,0.8328049858087595,4.991250992047402,0.5009010339612265,2.302585092994046,0.979782996527288,1138.0,0.9797630815450533,0.0011623920004101564
98.0,1.5082265669458723,1.5543100913463028,0.5000069161374393,2.302585092994046,1.5876624195506897,382.0,1.5876448353928314,0.0018715253231501472
100.0,2.3000000000000007,0.0,0.5,2.302585092994046,2.3002585092994052,0.0,2.3000000000000007,
