Batch_Number,Avg_CE_Train,Avg_Accuracy,Avg_CE_Test,Num_Runs
126,0.334248,90.5891,0.324274,100
127,0.333768,90.5774,0.324665,100
128,0.33346800000000004,90.6002,0.32372700000000004,100
129,0.333011,90.5917,0.32413,100
130,0.332714,90.6126,0.323205,100
131,0.332269,90.6039,0.32363,100
132,0.33199399999999996,90.6288,0.32271099999999997,100
133,0.331565,90.6153,0.323159,100
134,0.33130400000000004,90.6432,0.322257,100
135,0.330897,90.62889999999999,0.322731,100
136,0.330647,90.65459999999999,0.32183300000000004,100
137,0.330266,90.64309999999999,0.32232999999999995,100
138,0.33004,90.66799999999999,0.321449,100
139,0.32967100000000005,90.6558,0.321978,100
140,0.3294632653061224,90.6773469387755,0.3210918367346939,98
141,0.3290979591836735,90.66714285714285,0.32166938775510207,98
142,0.3289285714285714,90.68989795918368,0.32078469387755104,98
143,0.3285826530612245,90.67693877551021,0.3213867346938775,98
144,0.3284295918367347,90.70020408163266,0.32050102040816325,98
145,0.3280959183673469,90.68479591836736,0.32112551020408164,98
146,0.32797040816326534,90.7038775510204,0.32024897959183674,98
147,0.3276357142857143,90.68867346938775,0.32088979591836736,98
148,0.3275265306122449,90.70897959183674,0.32001326530612245,98
149,0.32720204081632653,90.69112244897958,0.32069183673469387,98
150,0.32711326530612245,90.71530612244898,0.3198091836734694,98
151,0.32679489795918365,90.69632653061224,0.32050918367346937,98
152,0.3267265306122449,90.7204081632653,0.3196326530612245,98
153,0.32642244897959183,90.70244897959184,0.3203479591836735,98
154,0.3263622448979592,90.72683673469388,0.3194795918367347,98
155,0.32606326530612245,90.7023469387755,0.3202163265306122,98
156,0.3260326530612245,90.72765306122449,0.31936326530612247,98
157,0.32575,90.70102040816327,0.32011326530612244,98
158,0.3257285714285714,90.72928571428571,0.3192561224489796,98
159,0.3254479591836735,90.70642857142856,0.32003571428571426,98
160,0.3250595238095238,90.76285714285714,0.31844285714285714,42
161,0.3248166666666667,90.71404761904762,0.3193333333333333,42
162,0.3248190476190476,90.75404761904763,0.3184119047619048,42
163,0.3245857142857143,90.71190476190476,0.31930714285714284,42
164,0.3245976190476191,90.74904761904762,0.3183952380952381,42
165,0.3243857142857143,90.71261904761904,0.3193142857142857,42
166,0.3244095238095238,90.7492857142857,0.31840238095238094,42
167,0.32419761904761907,90.71333333333334,0.3193142857142857,42
168,0.32422142857142855,90.74833333333333,0.31843095238095237,42
169,0.32402142857142857,90.7104761904762,0.3193309523809524,42
170,0.324052380952381,90.75,0.3184452380952381,42
171,0.32383809523809526,90.71261904761904,0.31933809523809525,42
172,0.3238595238095238,90.74285714285713,0.3184452380952381,42
173,0.323647619047619,90.70238095238095,0.3193047619047619,42
174,0.32365714285714287,90.74309523809524,0.31843809523809524,42
175,0.3234404761904762,90.70880952380952,0.3192857142857143,42
176,0.3234547619047619,90.7447619047619,0.3184071428571429,42
177,0.32323809523809527,90.7147619047619,0.31924761904761906,42
178,0.3232333333333334,90.75119047619049,0.3183690476190476,42
179,0.3230166666666666,90.70928571428571,0.31920238095238096,42
