Run,A,B,n,CE_o,CE_L,learn_BN,fitted_at_learn_BN,IPA
slp_0.8_60000_run_0.txt,0.443257805960332,19.260327541304967,2.5503440911510884,2.302585092994046,0.6291905346637034,6.0,0.577959443590295,0.27889909305505706
slp_0.8_60000_run_1.txt,0.2999255068539417,9.444484672172182,0.8044648366413738,2.302585092994046,0.5001914654679522,120.0,0.4992913131200281,0.01501994689605078
slp_0.8_60000_run_10.txt,0.2994100188874577,8.890821121024517,0.7795469584661603,2.302585092994046,0.49972752629811645,129.0,0.4994071481445317,0.01397564005190643
slp_0.8_60000_run_11.txt,0.3043938414766303,8.547353969315886,0.7782065912896863,2.302585092994046,0.5042129666283719,124.0,0.5039212197918077,0.014503001019078017
slp_0.8_60000_run_12.txt,0.4589223534897042,19.950087740246648,1.706069469488614,2.302585092994046,0.6432886274401384,15.0,0.6349709106343381,0.1106197643702605
slp_0.8_60000_run_13.txt,0.2854953811407699,8.50264306524312,0.7588964179889182,2.302585092994046,0.48720435232609716,138.0,0.48651002300132573,0.013154932903390933
slp_0.8_60000_run_14.txt,0.3661268394022811,0.8268468892098091,0.5387549944830029,2.302585092994046,0.5597726647614574,14.0,0.5583474962808819,0.12448660201661346
slp_0.8_60000_run_15.txt,0.3110794557882446,8.768881198936763,0.7761065263892669,2.302585092994046,0.5102300195088247,131.0,0.5093019418151458,0.013682099797597108
slp_0.8_60000_run_16.txt,0.3184957732488089,21.014536099298653,1.03396775131697,2.302585092994046,0.5169047052233327,90.0,0.5166184487335617,0.01984089319745237
slp_0.8_60000_run_17.txt,0.3117075685038928,10.561526157207457,0.8498214436552667,2.302585092994046,0.5107953209529081,107.0,0.5092587209359625,0.016745698804122782
slp_0.8_60000_run_18.txt,0.3284812485757751,17.007687470044164,0.9866138416875057,2.302585092994046,0.5258916330176022,91.0,0.5248828452600058,0.019524103955785094
slp_0.8_60000_run_19.txt,0.2946348254290298,8.440881860857118,0.7573838537877171,2.302585092994046,0.49542985218553137,139.0,0.49459573312815486,0.013001116840349025
slp_0.8_60000_run_2.txt,0.3163979495849237,9.116362406457467,0.7843422816960519,2.302585092994046,0.5150166639258358,131.0,0.5143526351126251,0.013645560527238245
slp_0.8_60000_run_20.txt,0.3283633308152473,17.6418182484262,0.9954422134357772,2.302585092994046,0.5257855070331272,91.0,0.5241152559984169,0.01952527017539471
