Batch_Number,Mean_Fit_CE,Std_Fit_CE
0,7.05703644311804,1.0267443306954782
1,3.4794574838755663,0.305607329797773
2,2.346632319934934,0.145751641162805
3,1.7973145125838073,0.08553093220124727
4,1.474903057081636,0.05696724599784693
5,1.2636304052891913,0.041538728568890584
6,1.114838903807489,0.03245326936905313
7,1.004574517831176,0.026734087128340724
8,0.9197005431376531,0.02291870141699422
9,0.85242200750676,0.020233162360388118
10,0.7978265145083069,0.018246663354676857
11,0.7526673805306521,0.016710055003350592
12,0.7147143787091157,0.015474419236071076
13,0.6823857657982327,0.014447934409093558
14,0.6545291314357317,0.013572225830152877
15,0.6302853549563455,0.012809039291394214
16,0.609001125542458,0.012132543975611561
17,0.590170958874697,0.011524780056248341
18,0.5733977376564219,0.010972902714049862
19,0.5583652290452041,0.010467474942754679
20,0.5448185471539866,0.010001385936300296
21,0.5325500074064866,0.00956915057882638
22,0.521388715246024,0.009166445943562628
23,0.5111927889882476,0.00878979817968071
24,0.5018434717501485,0.008436366701675264
25,0.4932406186543941,0.00810379253264696
26,0.4852991990912346,0.007790089723396508
27,0.4779465576542538,0.007493566207756687
28,0.47112024872431746,0.007212765117752199
29,0.4647663094587506,0.006946420554142907
30,0.45883787115841906,0.006693423732374375
31,0.45329403421821846,0.006452796689344267
32,0.44809895016284806,0.006223671580757284
33,0.4432210676843544,0.006005274170315129
34,0.4386325095353866,0.005796910504087589
35,0.43430855456526885,0.005597956036005847
36,0.4302272047965087,0.005407846662354911
37,0.4263688217103047,0.005226071259952005
38,0.42271581918703033,0.005052165421372765
39,0.41925240308159606,0.004885706152573013
40,0.41596434938684346,0.004726307351346956
41,0.4128388144850247,0.004573615924636824
42,0.40986417220793486,0.004427308432505269
43,0.407029873395086,0.004287088169234795
44,0.4043263244127527,0.0041526826094007785
45,0.4017447817176265,0.0040238411602218915
46,0.39927726004982184,0.0039003331720003187
47,0.3969164522462728,0.0037819461667394578
48,0.3946556589966342,0.0036684842515990654
49,0.3924887271347587,0.0035597666891135464
50,0.3904099952815926,0.003455626600358988
51,0.3884142458392177,0.003355909780738495
52,0.3864966624881632,0.0032604736109430694
53,0.38465279246691325,0.003169186048076137
54,0.38287851301838666,0.0030819246840175472
55,0.3811700014769058,0.0029985758599366287
56,0.3795237085437362,0.002919033827517331
57,0.3779363343622144,0.0028431999489906914
58,0.37640480705671486,0.0027709819295270006
59,0.3749262634448972,0.0027022930769575906
60,0.3734980316711454,0.002637051585197416
61,0.3721176155419339,0.002575179839136196
62,0.37078268037197487,0.0025166037401581085
63,0.36949104017411094,0.0024612520528236497
64,0.36824064604667484,0.002409055774577121
65,0.3670295756299326,0.002359947531591179
66,0.3658560235187055,0.002313861004977195
67,0.36471829253166954,0.002270730392522017
68,0.36361478574948336,0.002230489911798479
69,0.3625439992440228,0.002193073350882906
70,0.36150451542984724,0.0021584136729492728
