Run,Batch_Number,Fitted_CE,A,B,n
slp_0.2_60000_run_0.txt,0,7.24276805682783,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,1,3.6726464077494043,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,2,2.5084184890852503,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,3,1.934087838161301,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,4,1.5928612411963154,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,5,1.367138410690175,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,6,1.2069423764983034,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,7,1.0874539704698547,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,8,0.9949633811289978,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,9,0.9212852841792916,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,10,0.8612334903230311,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,11,0.8113639986036489,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,12,0.7693009042078427,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,13,0.7333525985914953,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,14,0.7022822485643441,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,15,0.6751647796075662,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,16,0.6512945943809046,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,17,0.6301242116632471,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,18,0.6112223844872036,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,19,0.5942448497160371,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,20,0.5789134798081369,0.2838111243888546,6.9589569324389755,1.0380815635401657
slp_0.2_60000_run_0.txt,21,0.5650011512961555,0.2838111243888546,6.9589569324389755,1.0380815635401657
