Prune_Layer,Batch_Size,Pruning_Percentage,CE_Type,AUC
SHL,1024,0.9,Avg_CE_Train,90.10787970738053
SHL,1024,0.8,Avg_CE_Train,91.73010668256222
SHL,1024,0.7,Avg_CE_Train,92.29630992390646
SHL,1024,0.6,Avg_CE_Train,95.98644461669075
SHL,1024,0.5,Avg_CE_Train,98.13710993831258
SHL,1024,0.4,Avg_CE_Train,100.70483235100264
SHL,1024,0.3,Avg_CE_Train,101.5784195457797
SHL,1024,0.2,Avg_CE_Train,106.17986537594197
SHL,1024,0.1,Avg_CE_Train,106.59643978710352
SHL,1024,0.0,Avg_CE_Train,110.2062197380869
SHL,1024,1.0,Avg_CE_Test,921.0340371976183
SHL,1024,0.9,Avg_CE_Test,88.26890309562347
SHL,1024,0.8,Avg_CE_Test,90.1227609285414
SHL,1024,0.7,Avg_CE_Test,90.93801252315978
SHL,1024,0.6,Avg_CE_Test,94.79921170042095
SHL,1024,0.5,Avg_CE_Test,96.96105715802597
SHL,1024,0.4,Avg_CE_Test,99.61263730254971
SHL,1024,0.3,Avg_CE_Test,100.45396361419536
SHL,1024,0.2,Avg_CE_Test,105.23330602633807
SHL,1024,0.1,Avg_CE_Test,105.87276500724806
SHL,1024,0.0,Avg_CE_Test,109.32496668854131
FHL+SHL,64,1.0,Avg_CE_Train,921.0340371976183
FHL+SHL,64,0.9,Avg_CE_Train,138.4342767814972
FHL+SHL,64,0.8,Avg_CE_Train,125.38630252560213
FHL+SHL,64,0.7,Avg_CE_Train,121.97229600282363
FHL+SHL,64,0.6,Avg_CE_Train,123.93772142509022
FHL+SHL,64,0.5,Avg_CE_Train,126.64851285047084
FHL+SHL,64,0.4,Avg_CE_Train,128.80070466729688
FHL+SHL,64,0.3,Avg_CE_Train,132.97624122784288
FHL+SHL,64,0.2,Avg_CE_Train,138.91698734880129
FHL+SHL,64,0.1,Avg_CE_Train,144.95207017795497
FHL+SHL,64,0.0,Avg_CE_Train,151.79327645748268
FHL+SHL,64,1.0,Avg_CE_Test,921.0340371976183
FHL+SHL,64,0.9,Avg_CE_Test,130.757053879721
FHL+SHL,64,0.8,Avg_CE_Test,117.83238210560714
FHL+SHL,64,0.7,Avg_CE_Test,114.80687579842419
FHL+SHL,64,0.6,Avg_CE_Test,117.13290748983758
FHL+SHL,64,0.5,Avg_CE_Test,119.65183102705332
FHL+SHL,64,0.4,Avg_CE_Test,121.43445368620601
FHL+SHL,64,0.3,Avg_CE_Test,125.64652169444703
FHL+SHL,64,0.2,Avg_CE_Test,131.25780030443778
FHL+SHL,64,0.1,Avg_CE_Test,137.3462411367332
FHL+SHL,64,0.0,Avg_CE_Test,143.87402977351388
FHL+SHL,1024,1.0,Avg_CE_Train,921.0340371976183
FHL+SHL,1024,0.9,Avg_CE_Train,98.54020256588902
FHL+SHL,1024,0.8,Avg_CE_Train,84.6147056769685
FHL+SHL,1024,0.7,Avg_CE_Train,84.33578022881846
FHL+SHL,1024,0.6,Avg_CE_Train,87.99898527560083
FHL+SHL,1024,0.5,Avg_CE_Train,89.68071548094167
FHL+SHL,1024,0.4,Avg_CE_Train,92.9083580365955
FHL+SHL,1024,0.3,Avg_CE_Train,96.27881406066521
FHL+SHL,1024,0.2,Avg_CE_Train,99.90715417907299
FHL+SHL,1024,0.1,Avg_CE_Train,103.73518948820333
FHL+SHL,1024,0.0,Avg_CE_Train,110.03760604933032
FHL+SHL,1024,1.0,Avg_CE_Test,921.0340371976183
FHL+SHL,1024,0.9,Avg_CE_Test,95.65542467082508
FHL+SHL,1024,0.8,Avg_CE_Test,82.3849394585555
FHL+SHL,1024,0.7,Avg_CE_Test,82.32713945039973
FHL+SHL,1024,0.6,Avg_CE_Test,86.19500890172327
FHL+SHL,1024,0.5,Avg_CE_Test,88.03143582572227
FHL+SHL,1024,0.4,Avg_CE_Test,91.53212430573616
FHL+SHL,1024,0.3,Avg_CE_Test,95.05197403935377
FHL+SHL,1024,0.2,Avg_CE_Test,98.84005976616331
FHL+SHL,1024,0.1,Avg_CE_Test,102.77406861295071
FHL+SHL,1024,0.0,Avg_CE_Test,109.10530588596805
ALL,64,1.0,Avg_CE_Train,826.6280483848625
ALL,64,0.9,Avg_CE_Train,165.86645193559198
ALL,64,0.8,Avg_CE_Train,143.29484301885864
ALL,64,0.7,Avg_CE_Train,129.82809297815328
ALL,64,0.6,Avg_CE_Train,124.1929345704886
ALL,64,0.5,Avg_CE_Train,123.61842579637161
ALL,64,0.4,Avg_CE_Train,122.51091226773718
ALL,64,0.3,Avg_CE_Train,125.35842836562605
ALL,64,0.2,Avg_CE_Train,130.0993301233118
ALL,64,0.1,Avg_CE_Train,135.4673112623252
ALL,64,0.0,Avg_CE_Train,146.96913989618866
ALL,64,1.0,Avg_CE_Test,826.6280483848625
ALL,64,0.9,Avg_CE_Test,159.69259480822154
ALL,64,0.8,Avg_CE_Test,136.9831523462998
ALL,64,0.7,Avg_CE_Test,123.09599273630806
ALL,64,0.6,Avg_CE_Test,118.2605680215425
ALL,64,0.5,Avg_CE_Test,117.13373490570197
ALL,64,0.4,Avg_CE_Test,116.45262964173567
ALL,64,0.3,Avg_CE_Test,119.08666271994261
ALL,64,0.2,Avg_CE_Test,122.94733254567966
ALL,64,0.1,Avg_CE_Test,128.91593969290022
ALL,64,0.0,Avg_CE_Test,139.87564376490067
ALL,1024,1.0,Avg_CE_Train,921.0340371976183
ALL,1024,0.9,Avg_CE_Train,145.37825906994755
ALL,1024,0.8,Avg_CE_Train,113.02023222557169
ALL,1024,0.7,Avg_CE_Train,95.58464981986234
ALL,1024,0.6,Avg_CE_Train,90.30495810365323
ALL,1024,0.5,Avg_CE_Train,92.81539061740548
ALL,1024,0.4,Avg_CE_Train,94.04665294869565
ALL,1024,0.3,Avg_CE_Train,94.62814483196846
ALL,1024,0.2,Avg_CE_Train,99.14108840272372
ALL,1024,0.1,Avg_CE_Train,103.39843158227481
ALL,1024,0.0,Avg_CE_Train,109.08248221785784
ALL,1024,1.0,Avg_CE_Test,921.0340371976183
ALL,1024,0.9,Avg_CE_Test,142.43630256602557
ALL,1024,0.8,Avg_CE_Test,110.54345348654776
ALL,1024,0.7,Avg_CE_Test,93.62316005742186
ALL,1024,0.6,Avg_CE_Test,88.4905348242101
ALL,1024,0.5,Avg_CE_Test,91.13632867767208
ALL,1024,0.4,Avg_CE_Test,92.40261737593741
ALL,1024,0.3,Avg_CE_Test,93.17678494058235
ALL,1024,0.2,Avg_CE_Test,98.04499013700965
ALL,1024,0.1,Avg_CE_Test,102.28424695083834
ALL,1024,0.0,Avg_CE_Test,108.33951299465254
