P%,IPA_Avg_64,STD_64,IPA_Avg_1024,STD_1024,IPA_Avg_60000,STD_60000
0.0,0.04402046182348596,,0.06322331221539901,,0.07230947662477757,
10.0,0.042959662739405165,,0.0592574861390809,,0.06489604626282705,
20.0,0.035602157372184744,,0.05415223484711121,,0.057057516460816665,
30.0,0.03358687018694848,,0.04732330357897728,,0.05089919377918922,
40.0,0.028841530856494657,,0.04487533532116997,,0.04374816547769575,
50.0,0.022768371041835607,,0.12836286254256649,,0.03757752670182907,
60.0,0.01645710555003645,,0.03263453243285551,,0.03018770324355839,
70.0,0.012187592169569248,,0.024181060099028127,,0.02641740705288683,
80.0,0.007060250732622954,,0.013192082539580308,,0.018142952940651436,
82.0,0.006028059656566374,,0.011230223258039573,,0.01434465420641638,
84.0,0.0050681245891122,,0.009512507227443064,,0.010871279512590277,
86.0,0.004225329180788919,,0.007793203090124652,,0.009036699949148035,
88.0,0.0031298705545399533,,0.0061736127267000545,,0.007225730699473825,
90.0,0.0021301545080393623,,0.004556545983307557,,0.005535424762137421,
92.0,0.001793484951045401,,0.0031830623880377096,,0.003322199512870015,
94.0,0.0030336139768267147,,0.0016242754805621585,,0.0018304092051210175,
96.0,0.0034774388032147202,,0.0014639813319848257,,0.0011654008597843904,
98.0,0.0012336824964288538,,0.0020289884226733657,,0.0018715253216792785,
100.0,,,,,,
