Pruning_Percentage,Batch_Size,N_valid_runs,Avg_CEasy,Avg_B,Avg_n,Avg_CE_l,Std_CE_l,Avg_BN_learn,Std_BN_learn,IPA
0.0,1024,100,0.264753991398225,5.463974123029427,0.9781845473373336,0.46853710155780703,0.014646337559758575,30.55,2.92800825190646,0.060034304138665756
0.1,1024,100,0.261214695394662,5.593142599641357,1.000635503046357,0.4653517351546004,0.013796104797918044,33.6,2.3783535600422527,0.05467956422141207
0.2,1024,100,0.2564938928606517,5.529899253714137,0.9844827610384496,0.46110301287399125,0.016053833151130792,37.8,3.107501513525883,0.0487164571460332
0.3,1024,100,0.2511785192293719,5.656687275951745,0.9446359314983467,0.4563191766058392,0.018290918822529388,42.92,4.329088830344106,0.043016447259743865
0.4,1024,100,0.25744517084196716,6.385992496611059,1.018093754588121,0.4619591630571749,0.022204775596753473,47.73,4.792365561679084,0.03856329205817874
0.5,1024,100,0.2542575624991876,6.578131820765305,0.9300431348411629,0.4590903155486734,0.019771934703892467,57.2,5.704862359904448,0.0322289296756184
0.6,1024,100,0.27071201929196165,8.161065313978275,1.0106570022079422,0.47389932666217,0.02688035155664497,66.41,7.467228063310706,0.027536301254809156
0.7,1024,100,0.2850505985116211,9.618581119284245,1.0312379645033056,0.48680404795986365,0.03526165416615593,88.21,13.602803484071314,0.02058475280619184
0.8,1024,100,0.3073233792679938,9.418804935255663,0.7836887920388886,0.5068495506405988,0.021785828203703804,137.57,16.292933958305266,0.013053249562793103
0.9,1024,8,0.4299768036418333,8.666066225605626,0.6737259574927967,0.6172376325770546,0.023135061689769393,305.25,17.645315039894946,0.005521203801529866
