Pruning_Percentage,Batch_Size,N_valid_runs,Avg_CEasy,Avg_B,Avg_n,Avg_CE_l,Std_CE_l,Avg_BN_learn,Std_BN_learn,IPA
0.0,64,100,0.2964518954662244,5.573849272108856,0.8965002419997572,0.4970652152190066,0.014838088000558013,40.35,3.843859066778142,0.04474646537236776
0.1,64,100,0.29668078203272646,5.824903696431164,0.9452629737556782,0.4972712131288584,0.02432319497730744,44.15,5.836795509368288,0.040890461605100514
0.2,64,100,0.2832887278305978,5.804162299930666,0.8786153416406354,0.48521836434694243,0.02429403435220604,52.26,7.704937417400651,0.034775482752527814
0.3,64,100,0.2853168793127551,6.209328643968377,0.9054621414341665,0.48704370068088415,0.0303052628349089,57.89,9.00941707102052,0.03136191729682435
0.4,64,100,0.28237320053341153,6.577440854295443,0.8843574324938425,0.4843943897794749,0.028319978693706775,67.28,9.267168070149804,0.027024237562642255
0.5,64,100,0.27688163678828487,7.144638622610122,0.8457057861569831,0.47945198240886094,0.02585625761028716,83.36,11.93883401240496,0.021870598735426884
0.6,64,100,0.27158350273457177,7.076720934938465,0.7487801319012614,0.474683661760519,0.01433929961173953,109.57,11.93183924962065,0.016682499144232244
0.7,64,100,0.28269598560832426,8.144691804305154,0.7348803619214505,0.4846848963468963,0.023005419779117083,148.9,21.112732526782857,0.012208866330739754
0.8,64,89,0.312400329540752,8.474790646904646,0.6773655327325947,0.5114188058860815,0.019450195474074623,246.38202247191012,37.700827582542274,0.007269874113125175
0.0,1024,100,0.264753991398225,5.463974123029427,0.9781845473373336,0.46853710155780703,0.014646337559758575,30.55,2.92800825190646,0.060034304138665756
0.1,1024,100,0.261214695394662,5.593142599641357,1.000635503046357,0.4653517351546004,0.013796104797918044,33.6,2.3783535600422527,0.05467956422141207
0.2,1024,100,0.2564938928606517,5.529899253714137,0.9844827610384496,0.46110301287399125,0.016053833151130792,37.8,3.107501513525883,0.0487164571460332
0.3,1024,100,0.2511785192293719,5.656687275951745,0.9446359314983467,0.4563191766058392,0.018290918822529388,42.92,4.329088830344106,0.043016447259743865
0.4,1024,100,0.25744517084196716,6.385992496611059,1.018093754588121,0.4619591630571749,0.022204775596753473,47.73,4.792365561679084,0.03856329205817874
0.5,1024,100,0.2542575624991876,6.578131820765305,0.9300431348411629,0.4590903155486734,0.019771934703892467,57.2,5.704862359904448,0.0322289296756184
0.6,1024,100,0.27071201929196165,8.161065313978275,1.0106570022079422,0.47389932666217,0.02688035155664497,66.41,7.467228063310706,0.027536301254809156
0.7,1024,100,0.2850505985116211,9.618581119284245,1.0312379645033056,0.48680404795986365,0.03526165416615593,88.21,13.602803484071314,0.02058475280619184
0.8,1024,100,0.3073233792679938,9.418804935255663,0.7836887920388886,0.5068495506405988,0.021785828203703804,137.57,16.292933958305266,0.013053249562793103
0.9,1024,8,0.4299768036418333,8.666066225605626,0.6737259574927967,0.6172376325770546,0.023135061689769393,305.25,17.645315039894946,0.005521203801529866
0.0,60000,100,0.29384987227930226,6.763186570838737,1.0798523322770521,0.49472339435077667,0.0055806166236906435,26.77,1.2937690612463972,0.06753312284808625
0.1,60000,100,0.2834890332536272,6.3825301501793446,1.0281783836783571,0.48539863922766896,0.0037665279016833317,29.29,1.1485168301295845,0.062041189954468313
0.2,60000,100,0.2737641686645123,6.165502349577631,0.9824796007686181,0.4766462610974657,0.004175219902183631,32.73,0.9412542674323428,0.05578792642519341
0.3,60000,100,0.26656077472131434,6.257778933011752,0.9516499843349865,0.4701632065485875,0.0027921854637834435,37.35,1.4796600756234317,0.049060826946330884
0.4,60000,100,0.2609345623535934,6.5549631247294915,0.9274214297351502,0.46509961541763867,0.0036716766146743145,43.57,1.765293920643989,0.042173180573247815
0.5,60000,100,0.25651676141445423,6.784970953074395,0.9009311314756041,0.4611235945724135,0.009402944742453397,52.09,2.6632364301406444,0.03535153577311638
0.6,60000,100,0.2562912686347977,7.315730526845589,0.864046467117784,0.4609206510707225,0.0075660978074179545,64.9,3.9402097057456884,0.028376955961838573
0.7,60000,100,0.275311835938259,8.77354382992221,0.9611646801313514,0.4780391616438376,0.03235706387326475,80.62,11.725634526562093,0.022631430555075768
0.8,60000,100,0.3219648628071204,11.944478943988678,0.9940489656610474,0.5200268858258129,0.04459653269711981,114.23,23.71329380390466,0.01560499174619831
0.9,60000,18,0.4366494009768142,13.080890344116328,0.7733832025414017,0.6232429701785372,0.04705681417307638,242.55555555555554,61.31137714421575,0.006923536007943004
