Pruning_Percentage,Batch_Size,N_valid_runs,Avg_CEasy,Avg_B,Avg_n,Avg_CE_l,Std_CE_l,Avg_BN_learn,Std_BN_learn,IPA
0.0,60000,100,0.31327184672550173,32.55515987881564,1.490819556932615,0.5122031713523562,0.006947895327909371,25.12,1.1915527599724571,0.07127316567044943
0.1,60000,100,0.30495019226778386,26.744974054034582,1.4446185963505795,0.5047136823404101,0.005033613361954084,27.06,1.0807778717575633,0.06644018516827922
0.2,60000,100,0.2980948540085933,26.31429426245448,1.4074996829154207,0.49854387790713867,0.004132837185002992,29.8,0.8761716542303614,0.06053829580828547
0.3,60000,100,0.29370938766296073,26.57602691448804,1.376441284943698,0.4945969581960692,0.002229587303691098,33.47,1.1322187032191227,0.05401816954878927
0.4,60000,100,0.29088604111821303,29.795865819833324,1.3610799815532564,0.4920559463057962,0.0024463566168133064,38.4,1.2060453783110545,0.04714919652833984
0.5,60000,100,0.28807988784949745,29.102915974361885,1.3013876595689293,0.48953040836395234,0.0037587672284979477,45.34,1.609441838123711,0.039987972753200124
0.6,60000,100,0.2917534960785946,30.447205021653417,1.2556099665678904,0.4928366557701396,0.004151656968805692,55.43,2.621800599557179,0.03264925919581285
0.7,60000,100,0.30441879683491474,33.68937883503785,1.2153420512082027,0.5042354264508279,0.005728322691473874,70.24,2.7674880124383376,0.02560292805443078
0.8,60000,100,0.3539509784320836,38.34996111086866,1.1660658537965056,0.5488143898882798,0.010803609969021733,95.99,5.082143427549228,0.018270347985266864
0.9,60000,100,0.5254799608526135,35.93889121776387,1.0449765844549557,0.7031904740667568,0.026671756479993085,160.72,12.32233744059949,0.009951434911195179
